x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678794643,0.3678794412,-0.8414709848,-0.8414710097,-0.8414709848,0.5403023059,0.5403023038,0.5403023059,-1.557407725,-1.542504409,-1.557331115,-1.570796327,-1.316691468,-1.530747341,3.141592654,2.887487795,3.101543668,-0.7853981634,-0.8349206349,-0.78541561,1.188395106,1.296709667,1.198993574,1.850815718,1.841327987,1.850790253,0.6420926159,0.5328014494,0.6314915902,1.570796327,1.315272205,1.535399663,0,0.2555241218,0.03539666418,1.570796327,1.570566814,1.570798459
-0.998,0.3686159363,0.3686159589,0.3686159363,-0.840388698,-0.8403887223,-0.840388698,0.5419841661,0.5419841641,0.5419841661,-1.550577951,-1.536038842,-1.550516665,-1.507540228,-1.311782678,-1.517468205,3.078336555,2.882579005,3.088264531,-0.7843971627,-0.8329285871,-0.7844115822,1.186873315,1.292929086,1.195683254,1.845072352,1.835834994,1.845053345,0.6392716689,0.532262472,0.6304596921,1.50760341,1.310661379,1.521503298,0.06319291646,0.2601349483,0.04929302833,1.568796329,1.568566879,1.568798017
-0.996,0.3693539059,0.369353928,0.3693539059,-0.8393030496,-0.8393030734,-0.8393030496,0.5436638584,0.5436638564,0.5436638584,-1.543790408,-1.52960705,-1.543743254,-1.481323767,-1.306899898,-1.504466529,3.052120093,2.877696225,3.075262856,-0.7833941581,-0.8309522535,-0.7834057509,1.185360153,1.289199735,1.192498551,1.839371855,1.830378581,1.839358709,0.6364579261,0.5316875835,0.6293179684,1.481502295,1.306084713,1.507948797,0.08929403138,0.2647116142,0.06284752981,1.566796348,1.566567079,1.566797626
-0.994,0.3700933529,0.3700933746,0.3700933529,-0.838214044,-0.8382140673,-0.838214044,0.5453413761,0.5453413741,0.5453413761,-1.537044649,-1.523208775,-1.537010496,-1.461196969,-1.302042889,-1.491736344,3.031993296,2.872839216,3.062532671,-0.7823891454,-0.8289913518,-0.782398104,1.183855573,1.285520851,1.189434749,1.833713787,1.824958459,1.833705938,0.6336513376,0.5310774623,0.6280710427,1.461524621,1.301541883,1.494727942,0.1092717054,0.2692544434,0.07606838462,1.564796399,1.564567427,1.564797301
-0.992,0.3708342803,0.3708343015,0.3708342803,-0.8371216855,-0.8371217083,-0.8371216856,0.5470167124,0.5470167105,0.5470167124,-1.530340238,-1.516843765,-1.530318011,-1.444220741,-1.297211416,-1.479271779,3.015017068,2.868007743,3.050068106,-0.7813821207,-0.8270456035,-0.7813886299,1.182359531,1.281891683,1.18648726,1.828097711,1.819574341,1.828094631,0.6308518536,0.5304327765,0.6267234098,1.444724694,1.29703257,1.481832678,0.1260716323,0.2737637563,0.08896364832,1.562796497,1.562567933,1.562797055
-0.99,0.371576691,0.3715767117,0.371576691,-0.8360259786,-0.8360260009,-0.8360259786,0.5486898606,0.5486898587,0.5486898606,-1.523676741,-1.510511768,-1.52366542,-1.429256853,-1.292405244,-1.467067064,3.00005318,2.863201571,3.037863391,-0.7803730801,-0.8251147338,-0.780377317,1.180871983,1.27831149,1.183651625,1.822523199,1.814225941,1.82252439,0.628059425,0.5297541837,0.6252794383,1.429960453,1.292556456,1.469255108,0.1408358736,0.2782398703,0.1015412185,1.56079666,1.560568609,1.560796903
-0.988,0.3723205881,0.3723206083,0.3723205881,-0.8349269276,-0.8349269494,-0.8349269276,0.550360814,0.5503608122,0.550360814,-1.517053733,-1.504212533,-1.517052351,-1.415721654,-1.287624143,-1.455116529,2.986517981,2.858420469,3.025912856,-0.7793620194,-0.8231984715,-0.7793641538,1.179392886,1.27477954,1.180923507,1.816989826,1.808912977,1.816994822,0.6252740028,0.5290423316,0.6237433728,1.416645647,1.288113227,1.456987489,0.1541506802,0.2826830996,0.1138088374,1.558796903,1.558569467,1.558796859
-0.986,0.3730659744,0.3730659942,0.3730659744,-0.8338245368,-0.8338245581,-0.8338245368,0.5520295661,0.5520295643,0.5520295661,-1.510470794,-1.497945814,-1.510478434,-1.403268483,-1.282867881,-1.443414601,2.97406481,2.853664208,3.014210928,-0.7783489347,-0.8212965491,-0.7783491293,1.177922194,1.271295116,1.178298692,1.811497176,1.80363517,1.811505538,0.6224955385,0.5282978574,0.6221193369,1.4044317,1.283702571,1.445022233,0.1663646264,0.2870937554,0.1257740939,1.556797241,1.556570518,1.556796938
-0.984,0.3738128529,0.3738128723,0.3738128529,-0.8327188108,-0.8327188316,-0.8327188108,0.55369611,0.5536961083,0.55369611,-1.503927508,-1.491711363,-1.503943303,-1.391671512,-1.278136233,-1.431955802,2.962467839,2.84893256,3.002752128,-0.7773338221,-0.8194087027,-0.7773322326,1.176459866,1.267857506,1.175773086,1.806044836,1.798392242,1.806056156,0.619723984,0.5275213887,0.6204113353,1.393091294,1.279324181,1.433351901,0.177705033,0.2914721458,0.1374444262,1.554797692,1.554571774,1.554797155
-0.982,0.3745612268,0.3745612457,0.3745612268,-0.8316097538,-0.8316097742,-0.8316097538,0.5553604391,0.5553604374,0.5553604391,-1.497423466,-1.485508938,-1.497446596,-1.380773903,-1.273428972,-1.42073475,2.95157023,2.844225299,2.991531077,-0.7763166774,-0.8175346718,-0.7763134528,1.175005858,1.264466013,1.173342712,1.800632399,1.793183918,1.800646294,0.6169592914,0.5267135431,0.6186232565,1.382466386,1.274977751,1.421969203,0.1883299404,0.2958185758,0.1488271242,1.55279827,1.552573248,1.552797524
