x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678791887,0.3678794402,-0.8414709848,-0.8414710097,-0.8414709848,0.5403023059,0.5403025794,0.5403023068,-1.557407725,-1.542504409,-1.557331115,-1.570796327,-1.316691468,-1.530747341,3.141592654,2.887487795,3.101543668,-0.7853981634,-0.8349206349,-0.78541561,1.188395106,1.063210107,1.169518937,1.850815718,1.827405754,1.85058878,0.6420926159,0.7653246721,0.6609586047,1.570796327,1.300851267,1.524053546,0,0.2699450599,0.04674278096,1.570796327,1.567441814,1.570794934
-0.998,0.3686159363,0.3686156888,0.3686159355,-0.840388698,-0.8403887223,-0.840388698,0.5419841661,0.5419844342,0.5419841669,-1.550577951,-1.536038842,-1.550516665,-1.507540228,-1.311782678,-1.517468205,3.078336555,2.882579005,3.088264531,-0.7843971627,-0.8329285871,-0.7844115822,1.186873315,1.06405771,1.170477276,1.845072352,1.822188712,1.84488105,0.6392716689,0.760176862,0.6556591512,1.50760341,1.296526277,1.511800381,0.06319291646,0.2742700496,0.05899594566,1.568796329,1.565503819,1.568795003
-0.996,0.3693539059,0.3693536633,0.3693539052,-0.8393030496,-0.8393030734,-0.8393030496,0.5436638584,0.5436641212,0.5436638591,-1.543790408,-1.52960705,-1.543743254,-1.481323767,-1.306899898,-1.504466529,3.052120093,2.877696225,3.075262856,-0.7833941581,-0.8309522535,-0.7834057509,1.185360153,1.064873818,1.171312598,1.839371855,1.817003319,1.839213893,0.6364579261,0.7550755207,0.6504984432,1.481502295,1.292230339,1.499793368,0.08929403138,0.2785659879,0.0710029587,1.566796348,1.563564853,1.566795093
-0.994,0.3700933529,0.3700931151,0.3700933524,-0.838214044,-0.8382140673,-0.838214044,0.5453413761,0.5453416336,0.5453413766,-1.537044649,-1.523208775,-1.537010496,-1.461196969,-1.302042889,-1.491736344,3.031993296,2.872839216,3.062532671,-0.7823891454,-0.8289913518,-0.782398104,1.183855573,1.065658984,1.172029114,1.833713787,1.811849363,1.833586963,0.6336513376,0.7500200151,0.6454721766,1.461524621,1.28796321,1.488027728,0.1092717054,0.2828331173,0.08276859841,1.564796399,1.561624944,1.564795219
-0.992,0.3708342803,0.3708340472,0.3708342799,-0.8371216855,-0.8371217083,-0.8371216856,0.5470167124,0.5470169648,0.5470167128,-1.530340238,-1.516843765,-1.530318011,-1.444220741,-1.297211416,-1.479271779,3.015017068,2.868007743,3.050068106,-0.7813821207,-0.8270456035,-0.7813886299,1.182359531,1.066413756,1.172630946,1.828097711,1.806726634,1.827999917,0.6308518536,0.7450097201,0.6405761413,1.444724694,1.283724649,1.476498758,0.1260716323,0.287071678,0.09429756871,1.562796497,1.559684122,1.562795398
-0.99,0.371576691,0.3715764625,0.3715766907,-0.8360259786,-0.8360260009,-0.8360259786,0.5486898606,0.548690108,0.5486898609,-1.523676741,-1.510511768,-1.52366542,-1.429256853,-1.292405244,-1.467067064,3.00005318,2.863201571,3.037863391,-0.7803730801,-0.8251147338,-0.780377317,1.180871983,1.067138673,1.173122119,1.822523199,1.801634923,1.822452416,0.628059425,0.7400440184,0.6358062207,1.429960453,1.279514419,1.465201827,0.1408358736,0.2912819083,0.1055945,1.56079666,1.557742415,1.560795643
-0.988,0.3723205881,0.3723203641,0.3723205878,-0.8349269276,-0.8349269494,-0.8349269276,0.550360814,0.5503610565,0.5503608143,-1.517053733,-1.504212533,-1.517052351,-1.415721654,-1.287624143,-1.455116529,2.986517981,2.858420469,3.025912856,-0.7793620194,-0.8231984715,-0.7793641538,1.179392886,1.067834266,1.173506572,1.816989826,1.796574023,1.816944124,0.6252740028,0.7351223001,0.6311583895,1.416645647,1.275332282,1.454132377,0.1541506802,0.2954640444,0.11666395,1.558796903,1.555799852,1.558795972
-0.986,0.3730659744,0.3730657548,0.3730659742,-0.8338245368,-0.8338245581,-0.8338245368,0.5520295661,0.5520298036,0.5520295662,-1.510470794,-1.497945814,-1.510478434,-1.403268483,-1.282867881,-1.443414601,2.97406481,2.853664208,3.014210928,-0.7783489347,-0.8212965491,-0.7783491293,1.177922194,1.068501062,1.17378815,1.811497176,1.791543729,1.811474707,0.6224955385,0.7302439632,0.6266287123,1.4044317,1.271178006,1.443285922,0.1663646264,0.2996183208,0.1275104048,1.556797241,1.55385646,1.556796399
-0.984,0.3738128529,0.3738126378,0.3738128529,-0.8327188108,-0.8327188316,-0.8327188108,0.55369611,0.5536963428,0.55369611,-1.503927508,-1.491711363,-1.503943303,-1.391671512,-1.278136233,-1.431955802,2.962467839,2.84893256,3.002752128,-0.7773338221,-0.8194087027,-0.7773322326,1.176459866,1.069139577,1.173970613,1.806044836,1.786543837,1.806043835,0.619723984,0.725408413,0.6222133427,1.393091294,1.267051357,1.432658047,0.177705033,0.3037449696,0.1381382795,1.554797692,1.551912268,1.554796939
-0.982,0.3745612268,0.3745610159,0.3745612268,-0.8316097538,-0.8316097742,-0.8316097538,0.5553604391,0.5553606672,0.5553604391,-1.497423466,-1.485508938,-1.497446596,-1.380773903,-1.273428972,-1.42073475,2.95157023,2.844225299,2.991531077,-0.7763166774,-0.8175346718,-0.7763134528,1.175005858,1.069750324,1.174057632,1.800632399,1.781574143,1.800651181,0.6169592914,0.7206150622,0.6179085212,1.382466386,1.262952106,1.422244408,0.1883299404,0.3078442211,0.1485519192,1.55279827,1.549967305,1.552797609
