x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678794412,0.3678794412,-0.8414709848,-0.8414709848,-0.8414709848,0.5403023059,0.5403023059,0.5403023059,-1.557407725,-1.557396876,-1.557407725,-1.570796327,-1.413844718,-1.57073959,3.141592654,2.984641045,3.141535917,-0.7853981634,-0.8046006915,-0.7853981634,1.188395106,1.173468081,1.188394842,1.850815718,1.850798677,1.850815718,0.6420926159,0.6570196114,0.6420928792,1.570796327,1.410604223,1.57071841,0,0.160192104,0.00007791657326,1.570796327,1.570791471,1.570796327
-0.998,0.3686159363,0.3686159363,0.3686159363,-0.840388698,-0.840388698,-0.840388698,0.5419841661,0.5419841661,0.5419841661,-1.550577951,-1.550567702,-1.550577951,-1.507540228,-1.405849572,-1.539087784,3.078336555,2.976645898,3.109884111,-0.7843971627,-0.802624296,-0.7843971627,1.186873315,1.172690152,1.186876816,1.845072352,1.845056219,1.845072352,0.6392716689,0.6534548042,0.6392681685,1.50760341,1.402940109,1.539452401,0.06319291646,0.1678562182,0.03134392628,1.568796329,1.568791712,1.568796329
-0.996,0.3693539059,0.3693539059,0.3693539059,-0.8393030496,-0.8393030496,-0.8393030496,0.5436638584,0.5436638584,0.5436638584,-1.543790408,-1.543780725,-1.543790408,-1.481323767,-1.397979775,-1.51104403,3.052120093,2.968776102,3.081840357,-0.7833941581,-0.8006935634,-0.7833941581,1.185360153,1.171885177,1.185365939,1.839371855,1.839356584,1.839371855,0.6364579261,0.6499328749,0.6364521397,1.481502295,1.395408429,1.511708154,0.08929403138,0.1753878976,0.05908817254,1.566796348,1.566791958,1.566796348
-0.994,0.3700933529,0.3700933529,0.3700933529,-0.838214044,-0.838214044,-0.838214044,0.5453413761,0.5453413761,0.5453413761,-1.537044649,-1.537035502,-1.537044649,-1.461196969,-1.390231838,-1.48614684,3.031993296,2.961028165,3.056943166,-0.7823891454,-0.7988062526,-0.7823891454,1.183855573,1.171054755,1.183862511,1.833713787,1.833699333,1.833713787,0.6336513376,0.6464521298,0.6336443998,1.461524621,1.38800567,1.487048488,0.1092717054,0.1827906567,0.08374783859,1.564796399,1.564792225,1.564796399
-0.992,0.3708342803,0.3708342803,0.3708342803,-0.8371216855,-0.8371216855,-0.8371216855,0.5470167124,0.5470167124,0.5470167124,-1.530340238,-1.530331598,-1.530340238,-1.444220741,-1.382602381,-1.463987219,3.015017068,2.953398708,3.034783546,-0.7813821207,-0.7969602231,-0.7813821207,1.182359531,1.170200413,1.182366771,1.828097711,1.828084031,1.828097712,0.6308518536,0.6430109483,0.6308446139,1.444724694,1.380728424,1.465084497,0.1260716323,0.1900679024,0.1057118296,1.562796497,1.56279253,1.562796497
-0.99,0.371576691,0.371576691,0.371576691,-0.8360259786,-0.8360259786,-0.8360259786,0.5486898606,0.5486898606,0.5486898606,-1.523676741,-1.523668581,-1.523676741,-1.429256853,-1.375088129,-1.444203466,3.00005318,2.945884456,3.014999793,-0.7803730801,-0.7951534306,-0.7803730801,1.180871983,1.169323606,1.180878911,1.822523199,1.822510253,1.822523199,0.628059425,0.6396077798,0.6280524975,1.429960453,1.373573389,1.445470915,0.1408358736,0.1972229377,0.125325412,1.56079666,1.56079289,1.56079666
-0.988,0.3723205881,0.3723205881,0.3723205881,-0.8349269276,-0.8349269276,-0.8349269276,0.550360814,0.550360814,0.550360814,-1.517053733,-1.517046028,-1.517053733,-1.415721654,-1.367685912,-1.426476421,2.986517981,2.938482239,2.997272748,-0.7793620194,-0.7933839232,-0.7793620194,1.179392886,1.168425726,1.179399079,1.816989826,1.816977576,1.816989826,0.6252740028,0.6362411404,0.6252678097,1.416645647,1.366537362,1.427901862,0.1541506802,0.2042589647,0.1428944645,1.558796903,1.558793319,1.558796903
-0.986,0.3730659744,0.3730659744,0.3730659744,-0.8338245368,-0.8338245368,-0.8338245368,0.5520295661,0.5520295661,0.5520295661,-1.510470794,-1.510463518,-1.510470794,-1.403268483,-1.360392659,-1.410525129,2.97406481,2.931188986,2.981321456,-0.7783489347,-0.791649837,-0.7783489347,1.177922194,1.167508102,1.177927385,1.811497176,1.811485585,1.811497176,0.6224955385,0.6329096107,0.6224903474,1.4044317,1.359617239,1.412106958,0.1663646264,0.2111790879,0.1586893683,1.556797241,1.556793836,1.556797241
-0.984,0.3738128529,0.3738128529,0.3738128529,-0.8327188108,-0.8327188108,-0.8327188108,0.55369611,0.55369611,0.55369611,-1.503927508,-1.503920638,-1.503927508,-1.391671512,-1.353205395,-1.396102889,2.962467839,2.924001722,2.966899216,-0.7773338221,-0.7899493925,-0.7773338221,1.176459866,1.166571998,1.17646391,1.806044836,1.806033869,1.806044836,0.619723984,0.6296118323,0.6197199397,1.393091294,1.352810009,1.397847762,0.177705033,0.2179863178,0.1729485646,1.554797692,1.554794457,1.554797692
-0.982,0.3745612268,0.3745612268,0.3745612268,-0.8316097538,-0.8316097538,-0.8316097538,0.5553604391,0.5553604391,0.5553604391,-1.497423466,-1.497416981,-1.497423466,-1.380773903,-1.346121238,-1.382993655,2.95157023,2.916917565,2.953789982,-0.7763166774,-0.7882808909,-0.7763166774,1.175005858,1.165618626,1.175008707,1.800632399,1.800622025,1.800632399,0.6169592914,0.626346506,0.6169564431,1.382466386,1.346112754,1.384914524,0.1883299404,0.2246835733,0.1858818033,1.55279827,1.552795197,1.55279827
