x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3333333333,0.3594125954,-0.8414709848,-0.8333333333,-0.8405585048,0.5403023059,0.5,0.5318313314,-1.557407725,-1.333333333,-1.517714023,-1.570796327,-1.166666667,-1.377300033,3.141592654,2.737462993,2.948096359,-0.7853981634,-0.6666666667,-0.7770746645,1.188395106,0.851817007,0.7868376338,1.850815718,1.5,1.747005807,0.6420926159,0.8547488219,1.016277689,1.570796327,1.084911537,1.328129668,0,0.4858847895,0.2426666592,1.570796327,1.618731497,1.580448623
-0.998,0.3686159363,0.3343333347,0.3603164645,-0.840388698,-0.8323313347,-0.8395052675,0.5419841661,0.501998,0.5336878423,-1.550577951,-1.329337331,-1.512363895,-1.507540228,-1.163668665,-1.372640852,3.078336555,2.734464992,2.943437179,-0.7843971627,-0.6666626693,-0.7763119865,1.186873315,0.8528486336,0.792206482,1.845072352,1.498002,1.743890599,0.6392716689,0.8506108155,1.007270474,1.50760341,1.083037073,1.324741883,0.06319291646,0.4877592542,0.2460544442,1.568796329,1.616233496,1.578193653
-0.996,0.3693539059,0.335333344,0.3612204099,-0.8393030496,-0.831325344,-0.838448259,0.5436638584,0.503992,0.5355406364,-1.543790408,-1.325349312,-1.507027668,-1.481323767,-1.160674656,-1.367993111,3.052120093,2.731470983,2.938789438,-0.7833941581,-0.666650688,-0.7755445549,1.185360153,0.8538739308,0.7975356927,1.839371855,1.496008,1.740781628,0.6364579261,0.8464841047,0.9983095355,1.481502295,1.081166452,1.321363313,0.08929403138,0.4896298749,0.2494330141,1.566796348,1.613739491,1.575941757
-0.994,0.3700933529,0.3363333693,0.3621244402,-0.838214044,-0.8303153693,-0.8373874871,0.5453413761,0.505982,0.5373897137,-1.537044649,-1.321369261,-1.501705316,-1.461196969,-1.157684631,-1.363356786,3.031993296,2.728480957,2.934153113,-0.7823891454,-0.6666307387,-0.7747723792,1.183855573,0.854892924,0.8028253806,1.833713787,1.494018,1.737678893,0.6336513376,0.8423686581,0.9893947508,1.461524621,1.07929967,1.317993945,0.1092717054,0.4914966566,0.2528023823,1.564796399,1.611249479,1.573692933
-0.992,0.3708342803,0.3373334187,0.3630285637,-0.8371216855,-0.8293014187,-0.8363229593,0.5470167124,0.507968,0.5392350743,-1.530340238,-1.317397163,-1.496396811,-1.444220741,-1.154698581,-1.358731854,3.015017068,2.725494908,2.929528181,-0.7813821207,-0.6666028373,-0.773995469,1.182359531,0.8559056382,0.8080756605,1.828097711,1.492032,1.734582395,0.6308518536,0.8382644441,0.9805259963,1.444724694,1.077436722,1.314633764,0.1260716323,0.4933596043,0.2561625624,1.562796497,1.608763454,1.571447178
-0.99,0.371576691,0.3383335,0.3639327889,-0.8360259786,-0.8282835,-0.8352546831,0.5486898606,0.50995,0.5410767182,-1.523676741,-1.313433,-1.491102124,-1.429256853,-1.1517165,-1.354118292,3.00005318,2.722512827,2.924914619,-0.7803730801,-0.666567,-0.7732138338,1.180871983,0.8569120988,0.813286647,1.822523199,1.49005,1.731492134,0.628059425,0.8341714312,0.9717031487,1.429960453,1.075577604,1.311282759,0.1408358736,0.4952187231,0.2595135679,1.56079666,1.606281413,1.56920449
-0.988,0.3723205881,0.3393336213,0.3648371244,-0.8349269276,-0.8272616213,-0.834182666,0.550360814,0.511928,0.5429146454,-1.517053733,-1.309476757,-1.485821227,-1.415721654,-1.148738379,-1.349516077,2.986517981,2.719534705,2.920312404,-0.7793620194,-0.6665232427,-0.7724274832,1.179392886,0.8579123308,0.8184584551,1.816989826,1.488072,1.728408109,0.6252740028,0.8300895879,0.9629260846,1.416645647,1.073722309,1.307940915,0.1541506802,0.4970740178,0.2628554122,1.558796903,1.603803353,1.566964866
-0.986,0.3730659744,0.3403337907,0.3657415784,-0.8338245368,-0.8262357907,-0.8331069157,0.5520295661,0.513902,0.5447488558,-1.510470794,-1.305528419,-1.480554094,-1.403268483,-1.145764209,-1.344925187,2.97406481,2.716560536,2.915721514,-0.7783489347,-0.6664715813,-0.7716364266,1.177922194,0.8589063596,0.8235911992,1.811497176,1.486098,1.725330321,0.6224955385,0.8260188828,0.9541946807,1.4044317,1.071870833,1.304608218,0.1663646264,0.4989254936,0.2661881089,1.556797241,1.601329268,1.564728305
-0.984,0.3738128529,0.341334016,0.3666461597,-0.8327188108,-0.825206016,-0.8320274397,0.55369611,0.515872,0.5465793495,-1.503927508,-1.301587968,-1.475300695,-1.391671512,-1.142793984,-1.340345598,2.962467839,2.713590311,2.911141925,-0.7773338221,-0.666412032,-0.7708406735,1.176459866,0.8598942102,0.8286849943,1.806044836,1.484128,1.722258769,0.619723984,0.8219592842,0.9455088137,1.393091294,1.070023171,1.301284655,0.177705033,0.5007731554,0.2695116715,1.554797692,1.598859155,1.562494803
-0.982,0.3745612268,0.3423343053,0.3675508765,-0.8316097538,-0.8241723053,-0.8309442455,0.5553604391,0.517838,0.5484061264,-1.497423466,-1.297655389,-1.470061003,-1.380773903,-1.139827695,-1.335777287,2.95157023,2.710624021,2.906573614,-0.7763166774,-0.6663446107,-0.7700402336,1.175005858,0.8608759079,0.8337399551,1.800632399,1.482162,1.719193454,0.6169592914,0.8179107608,0.9368683604,1.382466386,1.068179319,1.297970213,0.1883299404,0.5026170082,0.2728261135,1.55279827,1.596393011,1.560264358
