x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678819444,0.3678794607,-0.8414709848,-0.841468254,-0.8414709654,0.5403023059,0.5403025794,0.5403023068,-1.557407725,-1.520634921,-1.556746196,-1.570796327,-1.286309524,-1.502493541,3.141592654,2.857105851,3.073289868,-0.7853981634,-0.7238095238,-0.7852605626,1.188395106,1.328237252,1.22138025,1.850815718,1.827405754,1.85058878,0.6420926159,0.4983434383,0.6090675742,1.570796327,1.283610843,1.509663411,0,0.2871854835,0.06113291563,1.570796327,1.563969592,1.570766334
-0.998,0.3686159363,0.3686183953,0.3686159537,-0.840388698,-0.8403860158,-0.8403886807,0.5419841661,0.5419844342,0.5419841669,-1.550577951,-1.51455987,-1.549997308,-1.507540228,-1.281943254,-1.492381253,3.078336555,2.852739581,3.06317758,-0.7843971627,-0.7238015504,-0.7842739134,1.186873315,1.324352352,1.216525675,1.845072352,1.822188712,1.84488105,0.6392716689,0.4979630241,0.6095843666,1.50760341,1.27959371,1.499023176,0.06319291646,0.2912026167,0.07177315105,1.568796329,1.562093599,1.568769609
-0.996,0.3693539059,0.3693563214,0.3693539212,-0.8393030496,-0.8393004153,-0.8393030344,0.5436638584,0.5436641212,0.5436638591,-1.543790408,-1.508512383,-1.543286388,-1.481323767,-1.277594366,-1.482398153,3.052120093,2.848390692,3.05319448,-0.7833941581,-0.7237777361,-0.7832846471,1.185360153,1.320511225,1.211820243,1.839371855,1.817003319,1.839213893,0.6364579261,0.4975532569,0.609967586,1.481502295,1.275600732,1.488553574,0.08929403138,0.2951955947,0.08224275271,1.566796348,1.560215649,1.566772754
-0.994,0.3700933529,0.3700957255,0.3700933662,-0.838214044,-0.8382114568,-0.8382140308,0.5453413761,0.5453416336,0.5453413766,-1.537044649,-1.502492289,-1.536613141,-1.461196969,-1.273262741,-1.472542546,3.031993296,2.844059068,3.043338873,-0.7823891454,-0.7237382386,-0.7822927749,1.183855573,1.316713373,1.207260324,1.833713787,1.811849363,1.833586963,0.6336513376,0.4971145611,0.6102207792,1.461524621,1.271631735,1.478252005,0.1092717054,0.2991645917,0.09254432169,1.564796399,1.558335784,1.56477579
-0.992,0.3708342803,0.3708366107,0.3708342918,-0.8371216855,-0.8371191448,-0.8371216742,0.5470167124,0.5470169648,0.5470167128,-1.530340238,-1.496499422,-1.529977271,-1.444220741,-1.268948262,-1.462812751,3.015017068,2.839744589,3.033609077,-0.7813821207,-0.7236832142,-0.7812983083,1.182359531,1.312958306,1.202842344,1.828097711,1.806726634,1.827999917,0.6308518536,0.4966473561,0.6103474318,1.444724694,1.267686546,1.468115899,0.1260716323,0.3031097804,0.1026804279,1.562796497,1.556454048,1.562778737
-0.99,0.371576691,0.3715789799,0.3715767007,-0.8360259786,-0.8360234835,-0.8360259691,0.5486898606,0.548690108,0.5486898609,-1.523676741,-1.490533613,-1.523378487,-1.429256853,-1.264650814,-1.453207104,3.00005318,2.835447141,3.024003431,-0.7803730801,-0.7236128174,-0.7803012582,1.180871983,1.30924554,1.198562794,1.822523199,1.801634923,1.822452416,0.628059425,0.4961520566,0.6103509687,1.429960453,1.263764994,1.458142717,0.1408358736,0.3070313326,0.1126536102,1.56079666,1.55457048,1.560781614
-0.988,0.3723205881,0.3723228361,0.3723205961,-0.8349269276,-0.8349244774,-0.8349269197,0.550360814,0.5503610565,0.5503608143,-1.517053733,-1.484594696,-1.516816499,-1.415721654,-1.26037028,-1.443723959,2.986517981,2.831166607,3.014520286,-0.7793620194,-0.7235272016,-0.7793016352,1.179392886,1.305574595,1.194418224,1.816989826,1.796574023,1.816944124,0.6252740028,0.4956290725,0.610234755,1.416645647,1.259866908,1.44832995,0.1541506802,0.3109294187,0.1224663771,1.558796903,1.552685125,1.55878444
-0.986,0.3730659744,0.3730681822,0.3730659808,-0.8338245368,-0.8338221308,-0.8338245306,0.5520295661,0.5520298036,0.5520295662,-1.510470794,-1.478682506,-1.510291018,-1.403268483,-1.256106545,-1.434361686,2.97406481,2.826902872,3.005158013,-0.7783489347,-0.7234265183,-0.77829945,1.177922194,1.301944995,1.190405244,1.811497176,1.791543729,1.811474707,0.6224955385,0.4950788091,0.6100020966,1.4044317,1.255992119,1.438675121,0.1663646264,0.3148042079,0.1321212063,1.556797241,1.550798022,1.556787235
-0.984,0.3738128529,0.3738150212,0.3738128578,-0.8327188108,-0.8327164482,-0.832718806,0.55369611,0.5536963428,0.55369611,-1.503927508,-1.472796879,-1.503801759,-1.391671512,-1.251859495,-1.425118669,2.962467839,2.822655822,2.995914996,-0.7773338221,-0.7233109179,-0.7772947127,1.176459866,1.298356271,1.186520523,1.806044836,1.786543837,1.806043835,0.619723984,0.4945016668,0.609656241,1.393091294,1.252140459,1.429175781,0.177705033,0.3186558683,0.1416205458,1.554797692,1.548909213,1.554790018
-0.982,0.3745612268,0.3745633561,0.3745612302,-0.8316097538,-0.8316074341,-0.8316097506,0.5553604391,0.5553606672,0.5553604391,-1.497423466,-1.466937651,-1.497348438,-1.380773903,-1.247629017,-1.415993311,2.95157023,2.818425344,2.986789638,-0.7763166774,-0.7231805492,-0.7762874334,1.175005858,1.294807958,1.182760788,1.800632399,1.781574143,1.800651181,0.6169592914,0.4938980415,0.609200378,1.382466386,1.24831176,1.419829513,0.1883299404,0.3224845666,0.1509668135,1.55279827,1.547018738,1.55279281
-0.98,0.3753110989,0.3753131898,0.3753111009,-0.8304973705,-0.8304950928,-0.8304973686,0.5570225468,0.5570227703,0.5570225467,-1.490958266,-1.461104659,-1.490930773,-1.370461484,-1.243414997,-1.40698403,2.941257811,2.814211324,2.977780357,-0.7752974968,-0.7230355594,-0.7752776218,1.173560129,1.291299595,1.179122825,1.795259466,1.776634447,1.79529642,0.6142014132,0.4932683247,0.6086376401,1.372441805,1.244505858,1.410633929,0.1983545222,0.3262904685,0.1601623978,1.550798993,1.54512664,1.550795628
-0.978,0.3760624722,0.3760645254,0.376062473,-0.8293816651,-0.8293794289,-0.8293816645,0.5586824264,0.5586826454,0.5586824262,-1.484531508,-1.455297742,-1.484548485,-1.360648078,-1.239217324,-1.398089259,2.931444405,2.810013651,2.968885585,-0.7742762762,-0.7228760944,-0.7742652875,1.172122635,1.287830728,1.175603474,1.789925641,1.771724549,1.789979231,0.6114503022,0.4926129031,0.6079711038,1.362930522,1.240722588,1.401586669,0.2078658045,0.3300737384,0.169209658,1.548799875,1.543232957,1.548798493
-0.976,0.3768153497,0.3768173659,0.3768153493,-0.8282626423,-0.8282604468,-0.8282626429,0.5603400712,0.5603402858,0.560340071,-1.478142801,-1.44951674,-1.478201296,-1.351266743,-1.235035887,-1.389307447,2.922063069,2.805832213,2.960103774,-0.7732530116,-0.7227022988,-0.7732504398,1.170693336,1.284400907,1.172199634,1.784630533,1.766844249,1.784699295,0.6087059117,0.4919321591,0.6072037896,1.353864866,1.236961787,1.392685403,0.2169314605,0.3338345398,0.178110924,1.546800933,1.54133773,1.546801423
-0.974,0.3775697346,0.3775717142,0.377569733,-0.8271403064,-0.827138151,-0.8271403081,0.5619954747,0.561995685,0.5619954744,-1.471791756,-1.443761492,-1.471888931,-1.342264253,-1.230870573,-1.380637059,2.91306058,2.8016669,2.951433386,-0.772227699,-0.7225143155,-0.7722330878,1.16927219,1.281009686,1.168908257,1.779373758,1.761993352,1.779456296,0.6059681952,0.4912264704,0.6063386632,1.345190969,1.233223292,1.383927829,0.2256053573,0.3375730347,0.1868684973,1.544802183,1.539440998,1.544804438
-0.972,0.3783256297,0.3783275734,0.3783256271,-0.8260146619,-0.8260125459,-0.8260146647,0.5636486302,0.5636488362,0.5636486299,-1.46547799,-1.43803184,-1.465611116,-1.33359746,-1.226721275,-1.372076577,2.904393787,2.797517602,2.942872904,-0.7712003345,-0.7223122862,-0.7712132404,1.167859155,1.277656625,1.165726353,1.774154937,1.757171661,1.774249922,0.6032371066,0.4904962105,0.6053786359,1.336865116,1.229506943,1.375311676,0.2339312107,0.3412893842,0.1954846507,1.542803641,1.537542802,1.542807557
-0.97,0.3790830381,0.3790849465,0.3790830345,-0.8248857133,-0.8248836362,-0.8248857171,0.5652995312,0.5652997329,0.5652995308,-1.459201128,-1.432327627,-1.45936758,-1.325230809,-1.222587881,-1.363624496,2.896027136,2.793384208,2.934420823,-0.770170914,-0.7220963511,-0.7701909062,1.166454192,1.274341288,1.162650982,1.768973694,1.752378981,1.769079862,0.6005126,0.4897417484,0.6043265653,1.328851244,1.225812579,1.366834698,0.2419450828,0.344983748,0.2039616288,1.540805322,1.53564318,1.540810798
-0.968,0.3798419629,0.3798438364,0.3798419583,-0.8237534653,-0.8237514262,-0.82375347,0.5669481709,0.5669483685,0.5669481705,-1.452960795,-1.426648694,-1.453158053,-1.317134591,-1.218470284,-1.355279327,2.887930918,2.789266611,2.926075654,-0.7691394336,-0.7218666491,-0.7691660936,1.16505726,1.271063244,1.159679262,1.763829661,1.747615121,1.763945808,0.59779463,0.4889634489,0.6031852561,1.321119187,1.222140042,1.358494679,0.24967714,0.3486562848,0.2123016482,1.538807243,1.533742171,1.538814181
-0.966,0.380602407,0.3806042463,0.3806024015,-0.8226179222,-0.8226159207,-0.8226179277,0.5685945428,0.5685947364,0.5685945424,-1.446756626,-1.420994887,-1.446982267,-1.309283678,-1.214368376,-1.347039598,2.880080004,2.785164703,2.917835925,-0.7681058892,-0.7216233175,-0.7681388109,1.163668319,1.267822066,1.156808361,1.758722472,1.742879888,1.758847458,0.5950831513,0.4881616724,0.6019574607,1.313643403,1.218489174,1.350289429,0.2571529237,0.3523071523,0.2205068978,1.536809419,1.531839815,1.536817725
-0.964,0.3813643735,0.3813661792,0.3813643673,-0.8214790886,-0.821477124,-0.821479095,0.5702386404,0.57023883,0.5702386399,-1.440588256,-1.415366049,-1.440839958,-1.301656594,-1.21028205,-1.338903849,2.872452921,2.781078376,2.909700176,-0.767070277,-0.7213664925,-0.767109066,1.162287329,1.264617332,1.154035499,1.753651768,1.738173091,1.753784507,0.5923781192,0.4873367749,0.6006458796,1.306402038,1.21485982,1.342216788,0.2643942886,0.3559365069,0.228579539,1.534811867,1.529936148,1.534821447
-0.962,0.3821278655,0.3821296381,0.3821278585,-0.8203369691,-0.8203350409,-0.8203369763,0.571880457,0.5718806427,0.5718804565,-1.434455329,-1.409762027,-1.434730861,-1.294234812,-1.206211198,-1.330870638,2.865031139,2.777007524,2.901666965,-0.7660325928,-0.7210963088,-0.7660768668,1.160914252,1.261448625,1.15135795,1.748617194,1.733494543,1.748756659,0.5896794892,0.4864891086,0.5992531624,1.299376217,1.211251823,1.334274621,0.2714201096,0.3595445039,0.2365217061,1.532814602,1.528031211,1.532825368
-0.96,0.382892886,0.382894626,0.3828928783,-0.8191915683,-0.8191896758,-0.8191915761,0.5735199861,0.573520168,0.5735199855,-1.428357491,-1.404182668,-1.428654715,-1.287002218,-1.202155715,-1.322938537,2.857798544,2.772952042,2.893734864,-0.7649928327,-0.7208128998,-0.7650422208,1.159549047,1.258315533,1.148773036,1.743618399,1.728844055,1.743763615,0.5869872169,0.4856190211,0.5977819083,1.292549504,1.207665029,1.326460821,0.2782468227,0.3631312975,0.2443355062,1.53081764,1.52612504,1.530829506
-0.958,0.383659438,0.383661146,0.3836594297,-0.8180428907,-0.8180410333,-0.8180428992,0.5751572211,0.5751573993,0.5751572205,-1.422294393,-1.398627819,-1.422611261,-1.279944688,-1.198115496,-1.315106131,2.850741015,2.768911822,2.885902458,-0.7639509928,-0.7205163975,-0.7640051353,1.158191677,1.255217647,1.14627813,1.738655038,1.72422144,1.738805084,0.5843012586,0.484726856,0.5962346668,1.28590748,1.204099286,1.318773307,0.2848888468,0.3666970408,0.25202302,1.528820997,1.524217672,1.528833878
-0.956,0.3844275248,0.3844292012,0.3844275158,-0.816890941,-0.8168891181,-0.81689095,0.5767921555,0.57679233,0.5767921548,-1.416265692,-1.393097328,-1.41660024,-1.273049767,-1.194090436,-1.307372022,2.843846094,2.764886762,2.878168348,-0.762907069,-0.7202069326,-0.7629656175,1.156842103,1.252154563,1.143870656,1.733726769,1.719626515,1.733880772,0.5816215706,0.4838129529,0.594613938,1.279437412,1.200554441,1.311210025,0.2913589149,0.3702418859,0.2595863015,1.526824689,1.522309147,1.526838505
-0.954,0.3851971492,0.3851987946,0.3851971397,-0.8157357236,-0.8157339347,-0.8157357332,0.5784247827,0.5784249536,0.578424782,-1.410271047,-1.387591044,-1.410621397,-1.2663064,-1.190080431,-1.299734825,2.837102727,2.760876758,2.870531152,-0.7618610574,-0.7198846346,-0.7619236745,1.155500287,1.249125881,1.141548087,1.728833255,1.715059096,1.728990393,0.5789481096,0.4828776473,0.5929221739,1.273127988,1.197030343,1.303768948,0.2976683389,0.3737659836,0.2670273786,1.524828731,1.520399499,1.524843404
-0.952,0.3859683144,0.3859699294,0.3859683044,-0.8145772434,-0.8145754879,-0.8145772534,0.5800550962,0.5800552635,0.5800550955,-1.404310123,-1.382108819,-1.404674479,-1.259704725,-1.186085379,-1.292193171,2.830501052,2.756881705,2.862989498,-0.760812954,-0.7195496314,-0.7608793129,1.154166192,1.246131208,1.139307942,1.723974165,1.710518999,1.724133661,0.5762808327,0.4819212704,0.5911617782,1.266969103,1.193526843,1.296448074,0.3038272236,0.3772694838,0.2743482531,1.52283314,1.518488768,1.522848594
-0.95,0.3867410235,0.3867426085,0.3867410131,-0.8134155048,-0.8134137822,-0.8134155153,0.5816830895,0.5816832533,0.5816830888,-1.398382589,-1.376650503,-1.398759232,-1.253235898,-1.182105176,-1.284745704,2.824032224,2.752901503,2.855542031,-0.7597627549,-0.71920205,-0.7598325392,1.152839779,1.243170151,1.137147789,1.719149169,1.706006044,1.719310292,0.5736196971,0.4809441498,0.5893351076,1.260951687,1.190043792,1.289245425,0.3098446397,0.3807525352,0.2815509013,1.520837931,1.516576988,1.520854093
-0.948,0.3875152795,0.387516835,0.3875152687,-0.8122505126,-0.8122488222,-0.8122505234,0.583308756,0.5833089165,0.5833087554,-1.392488119,-1.371215948,-1.392875407,-1.246891951,-1.178139721,-1.277391084,2.817688278,2.748936047,2.84818741,-0.758710456,-0.7188420156,-0.75878336,1.151521013,1.240242325,1.135065245,1.714357945,1.701520051,1.714520005,0.5709646604,0.4799466089,0.587444472,1.255067559,1.186581041,1.282159053,0.3157287677,0.3842152856,0.2886372738,1.51884312,1.514664196,1.518859919
-0.946,0.3882910856,0.3882926121,0.3882910745,-0.8110822713,-0.8110806128,-0.8110822825,0.5849320893,0.5849322465,0.5849320887,-1.38662639,-1.365805006,-1.387022755,-1.240665679,-1.174188912,-1.270127982,2.811462006,2.744985239,2.840924309,-0.7576560534,-0.7184696526,-0.7577317813,1.150209856,1.237347348,1.13305797,1.709600171,1.697060842,1.709762524,0.5683156805,0.4789289673,0.5854921353,1.249309311,1.183138445,1.275187031,0.3214870155,0.3876578815,0.2956092962,1.516848723,1.512750429,1.516866091
-0.944,0.3890684449,0.3890699429,0.3890684334,-0.8099107858,-0.8099091584,-0.8099107973,0.5865530829,0.5865532368,0.5865530823,-1.380797083,-1.360417533,-1.381201031,-1.234550538,-1.170252649,-1.262955087,2.805346865,2.741048976,2.833751414,-0.7565995432,-0.7180850839,-0.7566778092,1.148906272,1.234484841,1.131123674,1.704875533,1.692628239,1.705037572,0.5656727156,0.4778915407,0.583480316,1.243670209,1.179715858,1.268327458,0.3271261178,0.3910804686,0.3024688688,1.514854756,1.510835722,1.514872627
