x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678794412,0.3678794412,-0.8414709848,-0.8414709848,-0.8414709848,0.5403023059,0.5403023059,0.5403023059,-1.557407725,-1.557244764,-1.557407724,-1.570796327,-1.391694646,-1.569636914,3.141592654,2.962490973,3.14043324,-0.7853981634,-0.7604599047,-0.785398163,1.188395106,1.217336637,1.188408624,1.850815718,1.850711974,1.850815717,0.6420926159,0.6131501311,0.6420790981,1.570796327,1.391489287,1.569845009,0,0.1793070396,0.00095131783,1.570796327,1.570842649,1.570796327
-0.998,0.3686159363,0.3686159363,0.3686159363,-0.840388698,-0.840388698,-0.840388698,0.5419841661,0.5419841661,0.5419841661,-1.550577951,-1.550422124,-1.550577953,-1.507540228,-1.384688754,-1.542417117,3.078336555,2.955485081,3.113213444,-0.7843971627,-0.7604401295,-0.7843971632,1.186873315,1.214649249,1.186856553,1.845072352,1.844973347,1.845072352,0.6392716689,0.6114948229,0.6392884309,1.50760341,1.384680362,1.542271122,0.06319291646,0.1861159649,0.028525205,1.568796329,1.568840738,1.568796329
-0.996,0.3693539059,0.3693539059,0.3693539059,-0.8393030496,-0.8393030496,-0.8393030496,0.5436638584,0.5436638584,0.5436638584,-1.543790408,-1.543641412,-1.54379041,-1.481323767,-1.377765668,-1.517368475,3.052120093,2.948561995,3.088164802,-0.7833941581,-0.7603816877,-0.7833941591,1.185360153,1.212015207,1.185321294,1.839371855,1.839277381,1.839371856,0.6364579261,0.6098019985,0.6364967854,1.481502295,1.377967073,1.517015502,0.08929403138,0.1928292542,0.05378082455,1.566796348,1.566838917,1.566796348
-0.994,0.3700933529,0.3700933529,0.3700933529,-0.838214044,-0.838214044,-0.838214044,0.5453413761,0.5453413761,0.5453413761,-1.537044649,-1.536902196,-1.537044652,-1.461196969,-1.370923657,-1.494306977,3.031993296,2.941719984,3.065103304,-0.7823891454,-0.7602858721,-0.7823891469,1.183855573,1.209432837,1.183801508,1.833713787,1.833623643,1.833713788,0.6336513376,0.6080732379,0.6337054023,1.461524621,1.371347425,1.493873587,0.1092717054,0.1994489013,0.07692273994,1.564796399,1.564837201,1.564796399
-0.992,0.3708342803,0.3708342803,0.3708342803,-0.8371216855,-0.8371216855,-0.8371216855,0.5470167124,0.5470167124,0.5470167124,-1.530340238,-1.53020405,-1.530340241,-1.444220741,-1.364161031,-1.473061941,3.015017068,2.934957358,3.043858268,-0.7813821207,-0.7601539321,-0.7813821224,1.182359531,1.20690052,1.182296007,1.828097711,1.828011705,1.828097713,0.6308518536,0.6063100652,0.6309153775,1.444724694,1.364819474,1.472656372,0.1260716323,0.2059768529,0.09813995436,1.562796497,1.562835602,1.562796497
-0.99,0.371576691,0.371576691,0.371576691,-0.8360259786,-0.8360259786,-0.8360259786,0.5486898606,0.5486898606,0.5486898606,-1.523676741,-1.523546553,-1.523676745,-1.429256853,-1.357476138,-1.453475199,3.00005318,2.928272464,3.024271525,-0.7803730801,-0.7599870751,-0.7803730819,1.180871983,1.204416694,1.180803733,1.822523199,1.822441147,1.822523201,0.628059425,0.6045139502,0.628127675,1.429960453,1.358381318,1.453189411,0.1408358736,0.2124150093,0.1176069156,1.56079666,1.560834135,1.56079666
-0.988,0.3723205881,0.3723205881,0.3723205881,-0.8349269276,-0.8349269276,-0.8349269276,0.550360814,0.550360814,0.550360814,-1.517053733,-1.516929289,-1.517053737,-1.415721654,-1.350867364,-1.435400323,2.986517981,2.921663691,3.00619665,-0.7793620194,-0.7597864682,-0.7793620213,1.179392886,1.201979846,1.17932375,1.816989826,1.816911553,1.816989828,0.6252740028,0.6026863109,0.6253431384,1.416645647,1.352031101,1.435311861,0.1541506802,0.2187652261,0.1354844656,1.558796903,1.558832812,1.558796903
-0.986,0.3730659744,0.3730659744,0.3730659744,-0.8338245368,-0.8338245368,-0.8338245368,0.5520295661,0.5520295661,0.5520295661,-1.510470794,-1.510351849,-1.510470797,-1.403268483,-1.344333135,-1.418701896,2.97406481,2.915129462,2.989498223,-0.7783489347,-0.759553239,-0.7783489365,1.177922194,1.199588519,1.177855231,1.811497176,1.811422513,1.811497177,0.6224955385,0.6008285143,0.6225625018,1.4044317,1.345767012,1.41887559,0.1663646264,0.225029315,0.151920737,1.556797241,1.556831647,1.556797241
-0.984,0.3738128529,0.3738128529,0.3738128529,-0.8327188108,-0.8327188108,-0.8327188108,0.55369611,0.55369611,0.55369611,-1.503927508,-1.503813827,-1.503927511,-1.391671512,-1.337871912,-1.403254815,2.962467839,2.908668238,2.974051141,-0.7773338221,-0.759288477,-0.7773338238,1.176459866,1.197241303,1.17639745,1.806044836,1.805973622,1.806044837,0.619723984,0.5989418785,0.6197864002,1.393091294,1.339587282,1.403744327,0.177705033,0.2312090448,0.167052,1.554797692,1.554830655,1.554797692
-0.982,0.3745612268,0.3745612268,0.3745612268,-0.8316097538,-0.8316097538,-0.8316097538,0.5553604391,0.5553604391,0.5553604391,-1.497423466,-1.497314826,-1.497423469,-1.380773903,-1.33148219,-1.388943632,2.95157023,2.902278517,2.959739959,-0.7763166774,-0.7589932349,-0.7763166789,1.175005858,1.194936835,1.174949772,1.800632399,1.800564482,1.8006324,0.6169592914,0.5970276747,0.6170153781,1.382466386,1.333490184,1.389792866,0.1883299404,0.2373061427,0.1810034605,1.55279827,1.552829847,1.55279827
-0.98,0.3753110989,0.3753110989,0.3753110989,-0.8304973705,-0.8304973705,-0.8304973705,0.5570225468,0.5570225468,0.5570225468,-1.490958266,-1.49085445,-1.490958269,-1.370461484,-1.325162502,-1.375661941,2.941257811,2.895958829,2.946458268,-0.7752974968,-0.7586685298,-0.7752974981,1.173560129,1.192673802,1.173511643,1.795259466,1.795194696,1.795259467,0.6142014132,0.5950871279,0.6142498991,1.372441805,1.327474032,1.376906313,0.1983545222,0.2433222949,0.1938900139,1.550798993,1.550829239,1.550798993
-0.978,0.3760624722,0.3760624722,0.3760624722,-0.8293816651,-0.8293816651,-0.8293816651,0.5586824264,0.5586824264,0.5586824264,-1.484531508,-1.484432309,-1.48453151,-1.360648078,-1.318911412,-1.363311781,2.931444405,2.889707739,2.934108108,-0.7742762762,-0.7583153441,-0.7742762772,1.172122635,1.190450934,1.172082585,1.789925641,1.789863878,1.789925641,0.6114503022,0.5931214191,0.6114903529,1.362930522,1.321537179,1.364979373,0.2078658045,0.2492591482,0.2058169543,1.548799875,1.548828845,1.548799875
-0.976,0.3768153497,0.3768153497,0.3768153497,-0.8282626423,-0.8282626423,-0.8282626423,0.5603400712,0.5603400712,0.5603400712,-1.478142801,-1.478048021,-1.478142802,-1.351266743,-1.31272752,-1.351803084,2.922063069,2.883523847,2.922599411,-0.7732530116,-0.7579346268,-0.7732530124,1.170693336,1.188267002,1.170662184,1.784630533,1.784571642,1.784630533,0.6087059117,0.5911316866,0.6087370637,1.353864866,1.315678016,1.353915683,0.2169314605,0.2551183105,0.2168806437,1.546800933,1.546828677,1.546800933
-0.974,0.3775697346,0.3775697346,0.3775697346,-0.8271403064,-0.8271403064,-0.8271403064,0.5619954747,0.5619954747,0.5619954747,-1.471791756,-1.471701205,-1.471791756,-1.342264253,-1.306609457,-1.34105315,2.91306058,2.877405784,2.911849476,-0.772227699,-0.7575272944,-0.7722276996,1.16927219,1.186120823,1.169250089,1.779373758,1.779317611,1.779373758,0.6059681952,0.5891190272,0.6059902963,1.345190969,1.309894975,1.343627185,0.2256053573,0.2609013519,0.2271691413,1.544802183,1.54482875,1.544802183
-0.972,0.3783256297,0.3783256297,0.3783256297,-0.8260146619,-0.8260146619,-0.8260146619,0.5636486302,0.5636486302,0.5636486302,-1.46547799,-1.465391487,-1.465477991,-1.33359746,-1.300555885,-1.330986149,2.904393787,2.871352211,2.901782476,-0.7712003345,-0.7570942322,-0.7712003348,1.167859155,1.184011253,1.167845999,1.774154937,1.774101409,1.774154937,0.6032371066,0.587084498,0.6032502626,1.336865116,1.304186521,1.334033531,0.2339312107,0.2666098056,0.2367627959,1.542803641,1.542829079,1.542803641
-0.97,0.3790830381,0.3790830381,0.3790830381,-0.8248857133,-0.8248857133,-0.8248857133,0.5652995312,0.5652995312,0.5652995312,-1.459201128,-1.459118497,-1.459201128,-1.325230809,-1.294565497,-1.321532656,2.896027136,2.865361823,2.892328983,-0.770170914,-0.7566362951,-0.7701709141,1.166454192,1.181937187,1.166449665,1.768973694,1.768922668,1.768973694,0.6005126,0.5850291172,0.6005171275,1.328851244,1.298551158,1.325061524,0.2419450828,0.2722451689,0.2457348027,1.540805322,1.540829677,1.540805322
-0.968,0.3798419629,0.3798419629,0.3798419629,-0.8237534653,-0.8237534653,-0.8237534653,0.5669481709,0.5669481709,0.5669481709,-1.452960795,-1.45288187,-1.452960795,-1.317134591,-1.288637017,-1.312629205,2.887930918,2.859433344,2.883425532,-0.7691394336,-0.7561543085,-0.7691394335,1.16505726,1.179897557,1.165060876,1.763829661,1.763781023,1.763829661,0.59779463,0.582953866,0.5977910141,1.321119187,1.292987423,1.3166446,0.24967714,0.2778089039,0.2541517271,1.538807243,1.538830558,1.538807243
-0.966,0.380602407,0.380602407,0.380602407,-0.8226179222,-0.8226179222,-0.8226179222,0.5685945428,0.5685945428,0.5685945428,-1.446756626,-1.446681245,-1.446756625,-1.309283678,-1.282769199,-1.304217876,2.880080004,2.853565525,2.875014202,-0.7681058892,-0.7556490695,-0.7681058889,1.163668319,1.177891335,1.163679462,1.758722472,1.758676115,1.758722472,0.5950831513,0.5808596893,0.5950720088,1.313643403,1.287493888,1.308722331,0.2571529237,0.2833024386,0.262073996,1.536809419,1.536831737,1.536809419
-0.964,0.3813643735,0.3813643735,0.3813643735,-0.8214790886,-0.8214790886,-0.8214790886,0.5702386404,0.5702386404,0.5702386404,-1.440588256,-1.440516268,-1.440588255,-1.301656594,-1.276960823,-1.296245898,2.872452921,2.84775715,2.867042225,-0.767070277,-0.7551213476,-0.7670702764,1.162287329,1.175917525,1.162305283,1.753651768,1.753607589,1.753651768,0.5923781192,0.5787474972,0.5923601654,1.306402038,1.282069159,1.301239967,0.2643942886,0.2887271676,0.2695563593,1.534811867,1.534833228,1.534811867
-0.962,0.3821278655,0.3821278655,0.3821278655,-0.8203369691,-0.8203369691,-0.8203369691,0.571880457,0.571880457,0.571880457,-1.434455329,-1.434386585,-1.434455327,-1.294234812,-1.2712107,-1.288665285,2.865031139,2.842007027,2.859461612,-0.7660325928,-0.7545718857,-0.7660325921,1.160914252,1.173975167,1.160938231,1.748617194,1.748575093,1.748617193,0.5896794892,0.5766181663,0.5896555095,1.299376217,1.276711874,1.294148004,0.2714201096,0.2940844527,0.2766483228,1.532814602,1.532835045,1.532814602
-0.96,0.382892886,0.382892886,0.382892886,-0.8191915683,-0.8191915683,-0.8191915683,0.5735199861,0.5735199861,0.5735199861,-1.428357491,-1.42829185,-1.428357489,-1.287002218,-1.265517667,-1.281432483,2.857798544,2.836313994,2.85222881,-0.7649928327,-0.7540014009,-0.7649928319,1.159549047,1.172063335,1.159578222,1.743618399,1.743578282,1.743618398,0.5869872169,0.5744725403,0.5869580419,1.292549504,1.271420703,1.287401773,0.2782468227,0.2993756242,0.2833945536,1.53081764,1.530837203,1.53081764
-0.958,0.383659438,0.383659438,0.383659438,-0.8180428907,-0.8180428907,-0.8180428907,0.5751572211,0.5751572211,0.5751572211,-1.422294393,-1.42223172,-1.422294391,-1.279944688,-1.259880588,-1.274508046,2.850741015,2.830676914,2.845304373,-0.7639509928,-0.7534105854,-0.7639509919,1.158191677,1.170181132,1.158225193,1.738655038,1.738616815,1.738655037,0.5843012586,0.5723114319,0.5842677425,1.28590748,1.266194345,1.280961067,0.2848888468,0.3046019813,0.2898352597,1.528820997,1.528839716,1.528820997
-0.956,0.3844275248,0.3844275248,0.3844275248,-0.816890941,-0.816890941,-0.816890941,0.5767921555,0.5767921555,0.5767921555,-1.416265692,-1.416205858,-1.416265689,-1.273049767,-1.254298351,-1.267856327,2.843846094,2.825094678,2.838652654,-0.762907069,-0.7528001072,-0.762907068,1.156842103,1.168327695,1.156879101,1.733726769,1.733690354,1.733726768,0.5816215706,0.5701356232,0.5815845729,1.279437412,1.261031534,1.274789781,0.2913589149,0.309764793,0.2960065462,1.526824689,1.526842598,1.526824689
-0.954,0.3851971492,0.3851971492,0.3851971492,-0.8157357236,-0.8157357236,-0.8157357236,0.5784247827,0.5784247827,0.5784247827,-1.410271047,-1.410213928,-1.410271044,-1.2663064,-1.248769874,-1.261445188,2.837102727,2.819566201,2.832241515,-0.7618610574,-0.752170611,-0.7618610563,1.155500287,1.166502191,1.155539917,1.728833255,1.728798565,1.728833255,0.5789481096,0.5679458669,0.5789084794,1.273127988,1.255931028,1.26885558,0.2976683389,0.3148652988,0.3019407472,1.524828731,1.524845865,1.524828731
-0.952,0.3859683144,0.3859683144,0.3859683144,-0.8145772434,-0.8145772434,-0.8145772434,0.5800550962,0.5800550962,0.5800550962,-1.404310123,-1.4042556,-1.404310121,-1.259704725,-1.243294095,-1.255245731,2.830501052,2.814090422,2.826042058,-0.760812954,-0.7515227189,-0.7608129529,1.154166192,1.164703813,1.154207629,1.723974165,1.723941121,1.723974164,0.5762808327,0.5657428876,0.5762393955,1.266969103,1.250891617,1.26312959,0.3038272236,0.3199047093,0.3076667363,1.52283314,1.522849529,1.52283314
-0.95,0.3867410235,0.3867410235,0.3867410235,-0.8134155048,-0.8134155048,-0.8134155048,0.5816830895,0.5816830895,0.5816830895,-1.398382589,-1.398330549,-1.398382587,-1.253235898,-1.23786998,-1.249232043,2.824032224,2.808666307,2.820028369,-0.7597627549,-0.7508570313,-0.7597627537,1.152839779,1.162931785,1.152882232,1.719149169,1.719117696,1.719149168,0.5736196971,0.5635273823,0.5735772443,1.260951687,1.24591212,1.25758611,0.3098446397,0.3248842073,0.3132102171,1.520837931,1.520853607,1.520837931
-0.948,0.3875152795,0.3875152795,0.3875152795,-0.8122505126,-0.8122505126,-0.8122505126,0.583308756,0.583308756,0.583308756,-1.392488119,-1.392438452,-1.392488117,-1.246891951,-1.232496515,-1.243380954,2.817688278,2.803292842,2.814177281,-0.758710456,-0.7501741273,-0.7587104548,1.151521013,1.161185356,1.151563733,1.714357945,1.71432797,1.714357944,0.5709646604,0.5613000218,0.5709219401,1.255067559,1.240991379,1.252202334,0.3157287677,0.3298049479,0.3185939932,1.51884312,1.518858113,1.51884312
-0.946,0.3882910856,0.3882910856,0.3882910856,-0.8110822713,-0.8110822713,-0.8110822713,0.5849320893,0.5849320893,0.5849320893,-1.38662639,-1.386578992,-1.386626388,-1.240665679,-1.227172713,-1.237671822,2.811462006,2.79796904,2.808468149,-0.7576560534,-0.7494745656,-0.7576560523,1.150209856,1.159463803,1.150252145,1.709600171,1.709571626,1.70960017,0.5683156805,0.5590614513,0.568273391,1.249309311,1.236128267,1.246958106,0.3214870155,0.3346680598,0.3238382204,1.516848723,1.51686306,1.516848723
-0.944,0.3890684449,0.3890684449,0.3890684449,-0.8099107858,-0.8099107858,-0.8099107858,0.5865530829,0.5865530829,0.5865530829,-1.380797083,-1.380751854,-1.380797081,-1.234550538,-1.221897607,-1.232086315,2.805346865,2.792693934,2.802882642,-0.7565995432,-0.7487588852,-0.7565995421,1.148906272,1.157766427,1.148947488,1.704875533,1.704848352,1.704875533,0.5656727156,0.5568122913,0.5656314996,1.243670209,1.231321681,1.241835685,0.3271261178,0.3394746454,0.3289606417,1.514854756,1.514868464,1.514854756
-0.942,0.3898473604,0.3898473604,0.3898473604,-0.8087360606,-0.8087360606,-0.8087360606,0.5881717303,0.5881717303,0.5881717303,-1.374999883,-1.374956728,-1.374999881,-1.228540565,-1.216670252,-1.226608222,2.799336891,2.787466579,2.797404549,-0.7555409213,-0.748027606,-0.7555409202,1.147610224,1.156092553,1.147649783,1.700183719,1.700157839,1.700183719,0.5630357242,0.5545531387,0.5629961653,1.238144108,1.226570545,1.236819522,0.3326522189,0.3442257819,0.3339768047,1.512861233,1.51287434,1.512861233
-0.94,0.3906278354,0.3906278354,0.3906278354,-0.8075581004,-0.8075581004,-0.8075581004,0.589788025,0.589788025,0.589788025,-1.369234481,-1.369193308,-1.369234479,-1.222630306,-1.211489725,-1.221223268,2.793426632,2.782286052,2.792019595,-0.7544801838,-0.7472812293,-0.7544801828,1.146321678,1.15444153,1.146359058,1.695524422,1.695499782,1.695524421,0.560404665,0.5522845671,0.560367285,1.232725383,1.221873805,1.231896061,0.3380709436,0.3489225216,0.3389002656,1.510868172,1.510880702,1.510868172
-0.938,0.3914098728,0.3914098728,0.3914098728,-0.80637691,-0.80637691,-0.80637691,0.5914019606,0.5914019606,0.5914019606,-1.363500569,-1.36346129,-1.363500568,-1.21681476,-1.206355125,-1.215918945,2.787611087,2.777151452,2.786715271,-0.7534173268,-0.7465202387,-0.7534173259,1.145040596,1.152812731,1.145075339,1.690897337,1.690873881,1.690897336,0.5577794971,0.5500071282,0.5577447545,1.22740887,1.217230434,1.227053551,0.3433874565,0.3535658926,0.3437427761,1.508875587,1.508887564,1.508875587
-0.936,0.3921934759,0.3921934759,0.3921934759,-0.8051924941,-0.8051924941,-0.8051924941,0.5930135305,0.5930135305,0.5930135305,-1.357797846,-1.357760377,-1.357797844,-1.211089327,-1.201265571,-1.210684351,2.781885654,2.772061897,2.781480678,-0.7523523464,-0.7457451005,-0.7523523456,1.143766945,1.151205549,1.143798655,1.686302164,1.686279837,1.686302164,0.5551601796,0.5477213524,0.5551284694,1.222189813,1.212639427,1.222281868,0.3486065137,0.3581568994,0.348514459,1.506883494,1.506894942,1.506883494
-0.934,0.3929786478,0.3929786478,0.3929786478,-0.8040048575,-0.8040048575,-0.8040048575,0.5946227284,0.5946227284,0.5946227284,-1.35212601,-1.352090271,-1.352126009,-1.205449765,-1.196220199,-1.205510046,2.776246092,2.767016526,2.776306373,-0.7512852385,-0.7449562642,-0.7512852377,1.142500689,1.149619399,1.142529036,1.681738609,1.681717358,1.681738609,0.5525466723,0.5454277491,0.552518326,1.21706382,1.208099803,1.217572358,0.3537325068,0.3626965236,0.353223969,1.504891909,1.50490285,1.504891909
