x,exp(x),Taylor,Cheby,sin(x),Taylor,Cheby,cos(x),Taylor,Cheby,tan(x),Taylor,Cheby,asin(x),Taylor,Cheby,acos(x),Taylor,Cheby,atan(x),Taylor,Cheby,csc(x + 2),Taylor,Cheby,sec(x),Taylor,Cheby,cot(x + 2),Taylor,Cheby,acsc(x + 2),Taylor,Cheby,asec(x + 2),Taylor,Cheby,acot(x + 2),Taylor,Cheby
-1,0.3678794412,0.3678794412,0.3678794412,-0.8414709848,-0.8414709848,-0.8414709848,0.5403023059,0.5403023059,0.5403023059,-1.557407725,-1.556415607,-1.557407642,-1.570796327,-1.370381236,-1.564925386,3.141592654,2.941177562,3.135721713,-0.7853981634,-0.7542679543,-0.7853981337,1.188395106,1.132264134,1.188395106,1.850815718,1.849257303,1.85081545,0.6420926159,0.6981930703,0.6425549031,1.570796327,1.363303558,1.563620377,0,0.2074927685,0.007175949918,1.570796327,1.570567855,1.570796322
-0.998,0.3686159363,0.3686159363,0.3686159363,-0.840388698,-0.840388698,-0.840388698,0.5419841661,0.5419841661,0.5419841661,-1.550577951,-1.549621636,-1.55057794,-1.507540228,-1.364126222,-1.542342205,3.078336555,2.934922549,3.113138532,-0.7843971627,-0.754252092,-0.7843971551,1.186873315,1.13246107,1.186873315,1.845072352,1.843567164,1.845072262,0.6392716689,0.6936544177,0.6394742109,1.50760341,1.357482582,1.541870586,0.06319291646,0.2133137449,0.02892574039,1.568796329,1.568575546,1.568796327
-0.996,0.3693539059,0.3693539059,0.3693539059,-0.8393030496,-0.8393030496,-0.8393030496,0.5436638584,0.5436638584,0.5436638584,-1.543790408,-1.542868653,-1.543790453,-1.481323767,-1.35792891,-1.520987774,3.052120093,2.928725236,3.091784101,-0.7833941581,-0.7542050494,-0.7833941686,1.185360153,1.13261735,1.185360153,1.839371855,1.837918152,1.839371913,0.6364579261,0.6891722213,0.6364397952,1.481502295,1.351724281,1.521263805,0.08929403138,0.2190720455,0.04953252134,1.566796348,1.566583011,1.566796349
-0.994,0.3700933529,0.3700933529,0.3700933529,-0.838214044,-0.838214044,-0.838214044,0.5453413761,0.5453413761,0.5453413761,-1.537044649,-1.536156256,-1.537044741,-1.461196969,-1.351788361,-1.500792862,3.031993296,2.922584687,3.071589189,-0.7823891454,-0.7541276267,-0.7823891708,1.183855573,1.132734245,1.183855573,1.833713787,1.832309879,1.833713966,0.6336513376,0.6847451151,0.6334480922,1.461524621,1.346027707,1.501739467,0.1092717054,0.2247686199,0.06905686001,1.564796399,1.564590272,1.564796402
-0.992,0.3708342803,0.3708342803,0.3708342803,-0.8371216855,-0.8371216855,-0.8371216855,0.5470167124,0.5470167124,0.5470167124,-1.530340238,-1.529484047,-1.530340364,-1.444220741,-1.345703655,-1.481691493,3.015017068,2.916499982,3.05248782,-0.7813821207,-0.7540206038,-0.7813821578,1.182359531,1.132812995,1.182359531,1.828097711,1.826741964,1.828097988,0.6308518536,0.6803717662,0.6304957622,1.444724694,1.340391925,1.483239697,0.1260716323,0.2304044018,0.08755663004,1.562796497,1.562597353,1.562796502
-0.99,0.371576691,0.371576691,0.371576691,-0.8360259786,-0.8360259786,-0.8360259786,0.5486898606,0.5486898606,0.5486898606,-1.523676741,-1.522851632,-1.523676893,-1.429256853,-1.33967389,-1.463620817,3.00005318,2.910470217,3.034417144,-0.7803730801,-0.7538847406,-0.7803731261,1.180871983,1.132854807,1.180871983,1.822523199,1.821214029,1.822523552,0.628059425,0.6760508738,0.6275796786,1.429960453,1.334816018,1.465709216,0.1408358736,0.2359803093,0.1050871106,1.56079666,1.560604275,1.560796666
-0.988,0.3723205881,0.3723205881,0.3723205881,-0.8349269276,-0.8349269276,-0.8349269276,0.550360814,0.550360814,0.550360814,-1.517053733,-1.516258623,-1.517053903,-1.415721654,-1.333698177,-1.44652099,2.986517981,2.904494504,3.017317316,-0.7793620194,-0.7537207772,-0.779362072,1.179392886,1.132860861,1.179392886,1.816989826,1.8157257,1.816990236,0.6252740028,0.6717811687,0.6246969176,1.416645647,1.329299082,1.449095245,0.1541506802,0.2414972452,0.1217010822,1.558796903,1.558611063,1.55879691
-0.986,0.3730659744,0.3730659744,0.3730659744,-0.8338245368,-0.8338245368,-0.8338245368,0.5520295661,0.5520295661,0.5520295661,-1.510470794,-1.509704635,-1.510470974,-1.403268483,-1.327775644,-1.430335053,2.97406481,2.898571971,3.00113138,-0.7783489347,-0.7535294349,-0.7783489918,1.177922194,1.132832302,1.177922194,1.811497176,1.810276609,1.811497626,0.6224955385,0.6675614123,0.621844748,1.4044317,1.32384023,1.433347406,0.1663646264,0.2469560969,0.1374489203,1.556797241,1.556617737,1.556797249
-0.984,0.3738128529,0.3738128529,0.3738128529,-0.8327188108,-0.8327188108,-0.8327188108,0.55369611,0.55369611,0.55369611,-1.503927508,-1.503189289,-1.503927693,-1.391671512,-1.321905434,-1.415008824,2.962467839,2.89270176,2.98580515,-0.7773338221,-0.7533114161,-0.7773338817,1.176459866,1.132770249,1.176459866,1.806044836,1.80486639,1.806045311,0.619723984,0.6633903962,0.6190206217,1.393091294,1.318438589,1.418417642,0.177705033,0.2523577373,0.1523786849,1.554797692,1.554624321,1.5547977
-0.982,0.3745612268,0.3745612268,0.3745612268,-0.8316097538,-0.8316097538,-0.8316097538,0.5553604391,0.5553604391,0.5553604391,-1.497423466,-1.49671221,-1.497423651,-1.380773903,-1.316086705,-1.400490779,2.95157023,2.886883032,2.971287106,-0.7763166774,-0.7530674052,-0.776316738,1.175005858,1.132675791,1.175005858,1.800632399,1.799494682,1.800632887,0.6169592914,0.6592669412,0.6162221647,1.382466386,1.313093302,1.404260118,0.1883299404,0.2577030244,0.1665362083,1.55279827,1.552630836,1.552798279
